accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0407-E,sun,low,pseudohypo,2.82264968360189,-3.0581049283718094,-0.089098822151269,0.042395435757410276,4.7652307902,0.034880465944561206
LA0407-E,sun,high,pseudohypo,2.82264968360189,-2.5593964811158303,0.0166980443592011,0.008866180539036345,3.8638355658,0.006674899965544082
LA0407-H,shade,low,amphi,2.906748919595022,-2.6334664636073426,-0.061785046031,0.007221350462679486,3.9465511534,0.00606064093773626
LA0407-H,shade,high,amphi,2.906748919595022,-2.170331235912797,0.089297807182,0.013188954017770364,3.92381288,0.008810002197494607
LA0407-H,shade,low,pseudohypo,2.8487972386747367,-2.5380174415014958,-0.04761142325,0.01015570054369429,4.1985256345,0.008155133045395887
LA0407-H,shade,high,pseudohypo,2.8487972386747367,-1.4306949647627574,-0.001093755473191451,0.005645632454646117,4.4855469461,0.004573028703168706
LA0407-I,shade,low,amphi,2.6892584072736243,-2.9851541174620047,0.30443892613,0.02149850618143672,5.1058547921,0.010353070038124032
LA0407-I,shade,high,amphi,2.6892584072736243,-2.7032769866358075,0.46891605895,0.016794603358481937,4.9384903234,0.010815051902569277
LA0407-I,shade,low,pseudohypo,2.6835686658611935,-3.5301581075129285,0.151862055737,0.0176976730730801,5.1104199634,0.011549466510691392
LA0407-I,shade,high,pseudohypo,2.6835686658611935,-2.8932691194686484,0.38397727817,0.014043232963049499,5.2977151254,0.007330429089736457
LA0407-J,shade,low,amphi,2.82923136355774,-4.1107681179671145,-0.089267258081,0.007608973110358887,4.4415423068,0.008138724423771818
LA0407-J,shade,high,amphi,2.82923136355774,-1.8560475804436178,0.28576592160000003,0.016083858317730963,4.7634216517,0.01344062355476629
LA0407-J,shade,low,pseudohypo,2.8192560116470844,-3.6770361480809854,0.096994659401,0.021935070253687173,4.003206173,0.020662757217173783
LA0407-J,shade,high,pseudohypo,2.8192560116470844,-2.125083908454582,0.19657743694,0.01597202877331711,4.4382033403,0.009886861962392789
LA0407-K,sun,low,amphi,2.9165317110309763,-3.699876927214315,0.28288431433,0.021009419281971337,5.0194020531,0.01322650085369305
LA0407-K,sun,high,amphi,2.9165317110309763,-2.9841053968523235,0.43268160716,0.011551985732587032,5.4894411361,0.006082918079029421
LA0407-K,sun,low,pseudohypo,2.9303906248457525,-3.2343375801007683,0.28051764066,0.016942729071742445,5.0790475398,0.009276490946062976
LA0407-K,sun,high,pseudohypo,2.9303906248457525,-2.489344117681915,0.46329012486,0.01585460400235445,5.5821544803,0.008448345422176734
LA0407-L,shade,low,amphi,2.9867000092501335,-3.0932913162090476,0.164853457625,0.0278792943513372,5.2488684095,0.026406481168656532
LA0407-L,shade,high,amphi,2.9867000092501335,-2.3177810654731,0.089617163895,0.007830826521654623,5.6430181831,0.007657591836107012
