accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA1589,sun,amphi,low,6,fgmax,0.052709405546034906,0.046154152026899445,0.06042079592839203
LA1589,sun,pseudohypo,high,9,fgmax,0.06258025925329389,0.057080827282046456,0.06886513766215693
LA1589,sun,pseudohypo,low,6,fgmax,0.027026674803490417,0.023659645195689007,0.031134641207238002
LA1777,shade,amphi,high,10,fgmax,0.07500558886666285,0.0645739115007017,0.08699415517333928
LA1777,shade,amphi,low,9,fgmax,0.04289372496323981,0.03456513897179675,0.052982256553047356
LA1777,shade,pseudohypo,high,10,fgmax,0.05362012070810312,0.04747985192153793,0.05994345861342092
LA1777,shade,pseudohypo,low,9,fgmax,0.032009714632133736,0.026299593649687612,0.03865789078502531
LA1777,sun,amphi,high,10,fgmax,0.07371641145896982,0.06349587710955176,0.0853270560107971
LA1777,sun,amphi,low,9,fgmax,0.031104572340766322,0.025090622756678057,0.0384939478402498
LA1777,sun,pseudohypo,high,10,fgmax,0.04174741649329765,0.037062639530353055,0.047424432404922306
LA1777,sun,pseudohypo,low,7,fgmax,0.019467883523517207,0.016042308763945426,0.023784252225575734
LA1782,shade,amphi,high,10,fgmax,0.11384528232137896,0.09889217196472307,0.13040020196231822
LA1782,shade,amphi,low,10,fgmax,0.06912706891730079,0.05819839613164416,0.08526677525430514
LA1782,shade,pseudohypo,high,10,fgmax,0.08877535509209769,0.07861027011829655,0.09989450530921992
LA1782,shade,pseudohypo,low,10,fgmax,0.053981006541639336,0.04477686028476475,0.06444034885805584
LA1782,sun,amphi,high,10,fgmax,0.1113678654002567,0.09702676673239216,0.12736976085419327
LA1782,sun,amphi,low,8,fgmax,0.050378834878118464,0.041801473390336456,0.0617649588332311
LA1782,sun,pseudohypo,high,10,fgmax,0.06926963231218772,0.06152356187024191,0.07830617260373911
LA1782,sun,pseudohypo,low,8,fgmax,0.03287854762200214,0.027346849756523673,0.03954044866053986
LA2133,shade,amphi,high,10,fgmax,0.14641939239686297,0.13060092760805292,0.1647606043678515
LA2133,shade,amphi,low,9,fgmax,0.06359803979146178,0.054785852166746155,0.07397428951761592
LA2133,shade,pseudohypo,high,10,fgmax,0.0872789722366863,0.07914026144138915,0.09596947994502719
LA2133,shade,pseudohypo,low,9,fgmax,0.033621375792225267,0.02884115969602167,0.03871577551348586
LA2133,sun,amphi,high,11,fgmax,0.14411752582704934,0.128509425608244,0.1622130049145716
LA2133,sun,amphi,low,8,fgmax,0.04620281463105736,0.03997993588851852,0.05429965355853919
LA2133,sun,pseudohypo,high,11,fgmax,0.06801427441282737,0.06197015458486104,0.07494104793955467
LA2133,sun,pseudohypo,low,8,fgmax,0.020442142503217006,0.01753882387786172,0.023627461820236957
LA2172,shade,amphi,high,10,fgmax,0.1397975198557033,0.12493323685809894,0.1571554741702113
LA2172,shade,amphi,low,10,fgmax,0.06001773212532163,0.051107814286798836,0.06976362778045317
LA2172,shade,pseudohypo,high,10,fgmax,0.08380019903731194,0.07616729621845279,0.09197863655564607
LA2172,shade,pseudohypo,low,10,fgmax,0.03199486301020414,0.027023465725038182,0.03695619369332058
LA2172,sun,amphi,high,10,fgmax,0.13765143620540557,0.12256498020236599,0.15488842173663278
LA2172,sun,amphi,low,10,fgmax,0.04342409163905265,0.03712837250869894,0.05065129773736637
LA2172,sun,pseudohypo,high,10,fgmax,0.06574164638662086,0.05931619145570781,0.07180100004655178
LA2172,sun,pseudohypo,low,10,fgmax,0.01956000790958571,0.01655802599219794,0.0225676981501088
LA2744,shade,amphi,high,9,fgmax,0.14331799590529654,0.12475669281125353,0.1653094760371004
LA2744,shade,amphi,low,10,fgmax,0.07511979703220376,0.06315317779967604,0.08944170627436651
LA2744,shade,pseudohypo,high,9,fgmax,0.08770903936313874,0.0771114188861939,0.09883106708256506
LA2744,shade,pseudohypo,low,10,fgmax,0.046582583294834626,0.03951640212871332,0.05612925131375495
LA2744,sun,amphi,high,9,fgmax,0.14044619310966439,0.12166946217875906,0.1639075779412759
LA2744,sun,amphi,low,10,fgmax,0.054783634945997604,0.045808174007807595,0.06540170830425238
LA2744,sun,pseudohypo,high,9,fgmax,0.06871413306097565,0.060366451385082266,0.07685692924266943
LA2744,sun,pseudohypo,low,10,fgmax,0.02846951717260089,0.02418449385453481,0.03411806285304981
LA2933,shade,amphi,high,10,fgmax,0.13495595696186796,0.1203465092691553,0.1510636382252449
LA2933,shade,amphi,low,9,fgmax,0.06870338732009315,0.05963649443911531,0.07821066117985928
LA2933,shade,pseudohypo,high,10,fgmax,0.07338226674724578,0.06654485346431938,0.07991732997269392
LA2933,shade,pseudohypo,low,9,fgmax,0.039399319279403544,0.03391071272259996,0.04503577299396839
LA2933,sun,amphi,high,10,fgmax,0.1326134202539441,0.11841454179551711,0.1478688886844911
LA2933,sun,amphi,low,10,fgmax,0.049851548119491704,0.04354552874129366,0.05704228872892094
LA2933,sun,pseudohypo,high,10,fgmax,0.05735760255644637,0.05204753032883373,0.0625450122472774
LA2933,sun,pseudohypo,low,10,fgmax,0.024101346106593247,0.020948205984056157,0.027567195883397715
LA2951,shade,amphi,high,6,fgmax,0.17883625658110783,0.15800515308894775,0.20371482445030328
LA2951,shade,amphi,low,9,fgmax,0.10545500024724548,0.08880788003262118,0.12492563490192804
LA2951,shade,pseudohypo,high,6,fgmax,0.10802941044443859,0.09655941458194527,0.12056797388072543
LA2951,shade,pseudohypo,low,9,fgmax,0.06689859824881374,0.05758570994169751,0.0784390390887448
LA2951,sun,amphi,high,10,fgmax,0.17606330986216898,0.15504934443226043,0.20039239008373522
LA2951,sun,amphi,low,9,fgmax,0.07649905049934051,0.06450882960168688,0.0903550272539643
LA2951,sun,pseudohypo,high,10,fgmax,0.08447777305411555,0.07566037170164008,0.09367860995768283
LA2951,sun,pseudohypo,low,9,fgmax,0.040749445449055434,0.035019002281260335,0.047724253747683236
LA2964,shade,amphi,high,10,fgmax,0.13471587015274125,0.11770434500876076,0.1545111148508114
LA2964,shade,amphi,low,10,fgmax,0.0688985013353671,0.05651182662148627,0.08308588588432442
LA2964,shade,pseudohypo,high,10,fgmax,0.09626615844080788,0.08600617871380789,0.10869761214321348
LA2964,shade,pseudohypo,low,10,fgmax,0.046161505361336376,0.03896139135297963,0.05391502011828361
LA2964,sun,amphi,high,10,fgmax,0.13263893272915483,0.11510306324935159,0.1524249618462374
LA2964,sun,amphi,low,10,fgmax,0.04979843157128518,0.04110690858555016,0.06083674069327371
LA2964,sun,pseudohypo,high,10,fgmax,0.0751999957155811,0.06728798698461805,0.0845407736792541
LA2964,sun,pseudohypo,low,10,fgmax,0.028205497450054223,0.023630384804292505,0.03283911657968988
LA3124,shade,amphi,high,10,fgmax,0.12480491697310078,0.11253324561683518,0.13827667847529507
LA3124,shade,amphi,low,10,fgmax,0.06738614191662763,0.0592037299005533,0.07620699949639904
LA3124,shade,pseudohypo,high,10,fgmax,0.07522529047934279,0.06875245008296912,0.08207226978725304
LA3124,shade,pseudohypo,low,10,fgmax,0.042515748234207486,0.03771918335695487,0.04832456562726485
LA3124,sun,amphi,high,8,fgmax,0.12292714194795852,0.11059474012665313,0.13553114969966087
LA3124,sun,amphi,low,8,fgmax,0.04910860597993608,0.042949930981633376,0.055515683764473855
LA3124,sun,pseudohypo,high,8,fgmax,0.05880541979152504,0.053545983436810635,0.064049697293331
LA3124,sun,pseudohypo,low,8,fgmax,0.026080114280820087,0.02281245456072592,0.02937936959382802
LA3778,shade,amphi,high,9,fgmax,0.14646754366771375,0.12792834286348992,0.16862827084312695
LA3778,shade,amphi,low,10,fgmax,0.07718724660619111,0.06530585833881622,0.09385474535424532
LA3778,shade,pseudohypo,high,9,fgmax,0.0669189354025145,0.05910929234793769,0.07549381371378386
LA3778,shade,pseudohypo,low,10,fgmax,0.041179067443440534,0.03491277181968791,0.04914089833110166
