accession,lighttreatment,lightintensity,leaftype,n_plant,trait,estimate,lowerCI,upperCI
LA0750,sun,high,pseudohypo,11,tau,255.75981852891664,231.22639965034935,281.9047805495498
LA0750,sun,high,pseudohypo,11,lambda,1.3191108472880915,1.2708276039835613,1.3727378005405018
LA0750,sun,high,pseudohypo,11,gcl,22.49266634819187,21.99653846376409,22.986060261404806
LA0750,sun,high,pseudohypo,11,fgmax,0.14195098700215675,0.12331050215901888,0.1626403158345815
LA0750,sun,low,amphi,9,tau,182.450409471881,165.61186058246923,201.04434476949385
LA0750,sun,low,amphi,9,lambda,1.2185239427079724,1.1731875569396888,1.2687611321993046
LA0750,sun,low,amphi,9,gcl,23.891207178158158,23.36593658721649,24.410527368432636
LA0750,sun,low,amphi,9,fgmax,0.05450399159503862,0.046657544528816146,0.06329107419530046
LA0750,sun,low,pseudohypo,9,tau,185.0106106135659,167.36334195284573,203.94118114623691
LA0750,sun,low,pseudohypo,9,lambda,1.1936994684863687,1.1501027394675956,1.2428129526481246
LA0750,sun,low,pseudohypo,9,gcl,22.49266634819187,21.99653846376409,22.986060261404806
LA0750,sun,low,pseudohypo,9,fgmax,0.06633982299344526,0.05692476412533825,0.07679845463419091
LA1028,shade,low,amphi,10,tau,206.34800229761865,186.36805820727395,230.21772579387581
LA1028,shade,low,amphi,10,lambda,1.250341011245469,1.2006413433671943,1.3074503208719845
LA1028,shade,low,amphi,10,gcl,23.25976495678211,22.732337736723117,23.841298403544315
LA1028,shade,low,amphi,10,fgmax,0.07482410048424011,0.0635365996503722,0.08852928158356337
LA1028,shade,high,amphi,10,tau,285.46666797200186,257.4327276767357,318.40795745226944
LA1028,shade,high,amphi,10,lambda,1.3825496487342548,1.3261576083781739,1.4433027115584753
LA1028,shade,high,amphi,10,gcl,23.25976495678211,22.732337736723117,23.841298403544315
LA1028,shade,high,amphi,10,fgmax,0.15855114543451443,0.1363945609325912,0.18438261785851548
LA1028,shade,low,pseudohypo,10,tau,208.9516331764962,189.18695626344908,233.0111785829795
LA1028,shade,low,pseudohypo,10,lambda,1.2250078110953309,1.175868393495046,1.2806489373531535
LA1028,shade,low,pseudohypo,10,gcl,21.905347583283458,21.40077290539217,22.468343285123925
LA1028,shade,low,pseudohypo,10,fgmax,0.09066056365600576,0.07725352162250465,0.10683005674033186
LA1028,shade,high,pseudohypo,10,tau,289.2794283460989,261.19827340063705,322.2005189691829
LA1028,shade,high,pseudohypo,10,lambda,1.3544226513141255,1.2999225796224478,1.4148464483120802
LA1028,shade,high,pseudohypo,10,gcl,21.905347583283458,21.40077290539217,22.468343285123925
LA1028,shade,high,pseudohypo,10,fgmax,0.1885394011623605,0.16303063856564798,0.21759290912069848
LA1028,sun,low,amphi,7,tau,206.74179905363616,186.9956323449883,231.68178115279494
LA1028,sun,low,amphi,7,lambda,1.3620305596004043,1.3075009217687592,1.4251941385995948
LA1028,sun,low,amphi,7,gcl,26.065444601793235,25.462114518417263,26.71942110829412
LA1028,sun,low,amphi,7,fgmax,0.05772945894769434,0.04884875935694618,0.06856713841933187
LA1028,sun,high,amphi,7,tau,285.7198883162822,258.2765410292875,319.8009925942928
LA1028,sun,high,amphi,7,lambda,1.505506531887309,1.4438065686366446,1.5746053708357992
LA1028,sun,high,amphi,7,gcl,26.065444601793235,25.462114518417263,26.71942110829412
LA1028,sun,high,amphi,7,fgmax,0.12495584270854337,0.10660314560870393,0.14633208955714372
LA1028,sun,low,pseudohypo,7,tau,209.29479092226026,189.26180033108642,234.40812603360757
LA1028,sun,low,pseudohypo,7,lambda,1.3343542475404448,1.2808979743777449,1.3952324506186975
LA1028,sun,low,pseudohypo,7,gcl,24.55315934046538,23.965573693340417,25.170293058602915
LA1028,sun,low,pseudohypo,7,fgmax,0.07018621807948074,0.059585926564826454,0.08311346276454634
LA1028,sun,high,pseudohypo,7,tau,289.6138400658389,261.70208869211183,324.02143632192144
LA1028,sun,high,pseudohypo,7,lambda,1.4747694997317895,1.4149364820772865,1.541774669740513
LA1028,sun,high,pseudohypo,7,gcl,24.55315934046538,23.965573693340417,25.170293058602915
LA1028,sun,high,pseudohypo,7,fgmax,0.14957475001580356,0.12830926350161223,0.1740084676917628
LA1044,shade,low,amphi,10,tau,132.20899499086488,121.19549054172833,145.2469909055346
LA1044,shade,low,amphi,10,lambda,1.1126156117684396,1.0677153568905182,1.154774402117248
LA1044,shade,low,amphi,10,gcl,18.665802261030088,18.253614806884165,19.070238629412174
LA1044,shade,low,amphi,10,fgmax,0.08775263751881048,0.0734781993158118,0.10412386534175251
LA1044,shade,high,amphi,10,tau,182.86547259478945,167.6529679226084,200.34480460151406
LA1044,shade,high,amphi,10,lambda,1.2296833513052856,1.1800540394806702,1.2755754850326382
LA1044,shade,high,amphi,10,gcl,18.665802261030088,18.253614806884165,19.070238629412174
LA1044,shade,high,amphi,10,fgmax,0.1829308630967134,0.1560899473351475,0.21225905843958523
LA1044,shade,low,pseudohypo,10,tau,133.99191285849142,122.65557636534606,146.95139531965864
LA1044,shade,low,pseudohypo,10,lambda,1.089804819287679,1.0460690396834869,1.131124853021266
LA1044,shade,low,pseudohypo,10,gcl,17.57466721179576,17.18392702225957,17.95917839685322
LA1044,shade,low,pseudohypo,10,fgmax,0.10594907528374545,0.0891352756663795,0.1250012779108677
LA1044,shade,high,pseudohypo,10,tau,185.2961821164459,169.5736869226193,203.17784305141262
LA1044,shade,high,pseudohypo,10,lambda,1.2047647910199348,1.1559689561592335,1.2489446249637384
LA1044,shade,high,pseudohypo,10,gcl,17.57466721179576,17.18392702225957,17.95917839685322
LA1044,shade,high,pseudohypo,10,fgmax,0.21619922152322343,0.1857982803023587,0.24941146599107167
LA1044,sun,low,amphi,11,tau,132.46962969768552,121.31065538119516,146.01164342446245
LA1044,sun,low,amphi,11,lambda,1.2119347107420935,1.1627340985230263,1.2576520627100205
LA1044,sun,low,amphi,11,gcl,20.921351011266772,20.45187332954459,21.360837094943054
LA1044,sun,low,amphi,11,fgmax,0.06790890829854539,0.05644955809542707,0.08090958831501684
LA1044,sun,high,amphi,11,tau,183.20414145919364,167.87432910196338,201.36528926636072
LA1044,sun,high,amphi,11,lambda,1.3390745483342767,1.2840804040415534,1.38932302921289
LA1044,sun,high,amphi,11,gcl,20.921351011266772,20.45187332954459,21.360837094943054
LA1044,sun,high,amphi,11,fgmax,0.14497865919596625,0.12204591419525801,0.17030632200571497
LA1044,sun,low,pseudohypo,11,tau,134.30898517176192,122.69946301764381,147.93223105211283
LA1044,sun,low,pseudohypo,11,lambda,1.1875678612982012,1.1391875363093924,1.2316119138857504
LA1044,sun,low,pseudohypo,11,gcl,19.702213014575367,19.272274841636726,20.12236931563789
LA1044,sun,low,pseudohypo,11,fgmax,0.08246175650454135,0.06870034101419248,0.09784106440286276
LA1044,sun,high,pseudohypo,11,tau,185.70067292150745,169.9671532534254,203.9975073672268
LA1044,sun,high,pseudohypo,11,lambda,1.3120121667715556,1.2586178468450928,1.3606582104435172
LA1044,sun,high,pseudohypo,11,gcl,19.702213014575367,19.272274841636726,20.12236931563789
LA1044,sun,high,pseudohypo,11,fgmax,0.17299742960522216,0.146789422212326,0.20112028184240105
LA1269,shade,low,amphi,9,tau,114.6782837830908,103.96441757528436,126.27925763475262
LA1269,shade,low,amphi,9,lambda,1.1289703601514411,1.0887763063240927,1.1759451587295326
LA1269,shade,low,amphi,9,gcl,19.082728129016125,18.660942331276107,19.500813503495525
LA1269,shade,low,amphi,9,fgmax,0.07449586013028262,0.06376392379548235,0.08705833008199662
LA1269,shade,high,amphi,10,tau,158.539617403814,143.66947776824645,174.4361786899188
LA1269,shade,high,amphi,10,lambda,1.248350349654439,1.2034087297539235,1.2992124977715926
LA1269,shade,high,amphi,10,gcl,19.082728129016125,18.660942331276107,19.500813503495525
