accession,id,lighttreatment,lightintensity,leaftype,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd,initial_RH,median_RH,final_RH,initial_VPD,median_VPD,final_VPD
LA1589,M,sun,low,amphi,2.841450146380319,-3.0681287495134413,0.53023041742,0.024486071751275554,5.5997064226,0.014446988828971738,0.21428801024107336,0.18899878258726766,0.16705021221854532,2.455133068769479,2.5413074991132167,2.616356507801016
LA1589,M,sun,high,amphi,2.841450146380319,-1.9986594204411732,0.34497321432,0.006169893110623447,5.110057518,0.0037167210740568428,0.3718922418916962,0.2904133563282443,0.2254959627776547,1.869158581900258,2.164954930422221,2.3980544303366704
LA1589,M,sun,low,pseudohypo,2.795217826676328,-2.9448625744060344,0.82950445136,0.046842072234511166,5.855461065,0.01886822676450206,0.16462736536467504,0.14717834495799598,0.12968562969265568,2.6087764609738637,2.6714528721580457,2.7318042270641185
LA1589,M,sun,high,pseudohypo,2.795217826676328,-1.8636408824262714,0.28440951166,0.011874616538379746,4.8675265289,0.006545070310684721,0.30270097869890233,0.2383897262564718,0.1909792774854354,2.1143386102656647,2.3532321090397814,2.530143472182079
LA1589,N,sun,low,amphi,3.0804427195690405,-2.883776315882915,0.24793710506,0.028791227624949147,4.4570566028,0.020241570291105408,0.20625348370458152,0.14949713463783293,0.12113227774283873,2.4858376918467306,2.6861002226930113,2.777295111133978
LA1589,N,sun,high,amphi,3.0804427195690405,-1.687441501826574,0.28078237028,0.02334183883960689,4.9331539765,0.01358151790786949,0.39290300591345373,0.29849825738514957,0.2195166010001073,1.8367211681095397,2.1735461599773758,2.456742256212821
LA1589,N,sun,low,pseudohypo,3.0192540054260686,-2.7003466814372463,0.122929794655,0.012174833773494547,4.4630272835,0.00895107655087125,0.1504844357600657,0.12085730566582573,0.10973070973919438,2.6722584301487777,2.7830374669191844,2.8144198948004737
LA1589,N,sun,high,pseudohypo,3.0192540054260686,-1.4095880989341625,0.26757049585,0.01205604147919538,5.0179040635,0.007331183752843438,0.30423080240218936,0.21434525327476883,0.14821588765046453,2.132915024744321,2.463423293904753,2.6953542335448653
LA1589,O,shade,low,amphi,2.949898133536238,-2.9232045398333844,0.03325572702131,0.0160823471814661,4.7617010129,0.01455132685929808,0.09264389246643435,0.06412755533268998,0.043474302965212305,2.869186834862404,2.9619474213013053,3.0338324747048224
LA1589,O,shade,high,amphi,2.949898133536238,-1.7445835454651246,0.21064115703,0.00677644289178645,4.8640451584,0.0036182315298683107,0.2085440223309037,0.12606886309176715,0.07502342923275912,2.481495175659888,2.7536952052957067,2.9276742035645436
LA1589,O,shade,low,pseudohypo,2.9501985509717983,-2.353832387240034,-0.016158013935036,0.010014648407946471,4.643217888,0.007594826977727526,0.1304472518130387,0.059048743545426025,0.03357495567049407,2.7576669609634723,2.978368014144709,3.067518279340387
LA1589,O,shade,high,pseudohypo,2.9501985509717983,-2.3204978154602,0.094460963205,0.00554220523511358,4.9081235443,0.004274278625779824,0.13834590669045477,0.09304240503618529,0.06394691524762709,2.7351718550645634,2.876664027961337,2.9732697111182236
LA1589,P,shade,low,amphi,2.896013260403791,-2.01138928692084,0.0333683427448682,0.034083899571585634,5.443796903,0.03582946314702547,0.2028497398921583,0.11203695657939874,0.059602547463090044,2.5093778283016537,2.8132487761166916,2.985013886275219
LA1589,P,shade,high,amphi,2.896013260403791,-1.1184843785985368,0.16427301454,0.014013321795368024,5.3637582793,0.011120538332556891,0.32395269274556426,0.23199839357630705,0.1555643909236029,2.095023475336557,2.4120192780670933,2.661233211857299
LA1589,P,shade,low,pseudohypo,2.879780819075844,-1.7896454172884668,-0.0328266158461398,0.024841841411696135,5.5407656152,0.030573070089537434,0.17895551269349005,0.09974255795097775,0.05345944461347606,2.594180263785539,2.8543562083552882,3.003551927190683
LA1589,P,shade,high,pseudohypo,2.879780819075844,-1.4654092201497468,0.092533764261,0.021626648372909996,4.977580588,0.015628701759474534,0.22446473100957004,0.1668851847992054,0.12764276695554852,2.497040979470604,2.638400736167015,2.7604349428544634
LA1589,Q,shade,low,amphi,2.966784863086031,-2.866709370837621,-0.01758436353468,0.00952941090310555,4.7609654445,0.011816790662415458,0.07012178929428554,0.056801288935023606,0.04908125274188895,2.944388999675284,2.9928060319015266,3.0202541595191756
LA1589,Q,shade,high,amphi,2.966784863086031,-1.5412187438933032,0.26565565379,0.011279617663184305,4.9239894645,0.007125034116258513,0.1748624937502232,0.10869498625727617,0.06973383294952974,2.6505725462111913,2.837763215532986,2.9602191720086597
LA1589,Q,shade,low,pseudohypo,2.950956137607531,-1.5988439628612414,-0.03996166303414,0.045384294580649576,4.8282575675,0.04485499830314956,0.16136152810057916,0.11182380343821474,0.07577398591724796,2.638053680972511,2.811060652636317,2.928066772262587
LA1589,Q,shade,high,pseudohypo,2.950956137607531,-1.1723120152194448,0.2016055614,0.013103224877548465,5.2052372081,0.009198172761266821,0.21522459958004886,0.15658441206117035,0.11521951428399028,2.5214321246321267,2.6750734568147205,2.812365442508489
LA1589,S,sun,low,amphi,3.0500871854090437,-3.4641251877628316,0.20357753958,0.021412239796804934,4.6983049709,0.012443438792983128,0.11285966054593412,0.08856359205931788,0.06958838767004914,2.803757965594323,2.8807702223304945,2.9457139586339793
LA1589,S,sun,high,amphi,3.0500871854090437,-2.5223056540660416,0.21859474817,0.00939448335151228,4.9695142862,0.006318904567888928,0.21310941821753612,0.13838928765475655,0.08696628448930538,2.4539220515995495,2.711438978919064,2.890224896255544
LA1589,S,sun,low,pseudohypo,3.0102112556085894,-3.173307238605362,-0.097459712106,0.0325484890633311,5.1097510246,0.0448152660866948,0.10559099670299746,0.09677492627100617,0.0903359794275369,2.8189360669323102,2.8415232333651343,2.8663179904058413
LA1589,S,sun,high,pseudohypo,3.0102112556085894,-2.031307013254754,0.16384902838,0.010792913083970788,4.5653385872,0.008131216329648097,0.22536128075205608,0.16239938035229087,0.11601009094688752,2.4153360148728393,2.6401709222838687,2.795773778110721
LA1589,T,shade,low,amphi,2.8243567667091365,-2.0208730034323774,-0.0827485603831,0.022244474596452055,5.0652690893,0.021962825084526114,0.1941555004288642,0.11240454257096186,0.07088002759378385,2.5403337941981525,2.81118118621264,2.9483527571637875
LA1589,T,shade,high,amphi,2.8243567667091365,-1.9681979753385566,0.124920501758,0.014038201780899586,5.0511341908,0.010317225391031503,0.20451620046562624,0.13319938788553473,0.09191671417746163,2.51755239988482,2.743836149190015,2.8817522753433193
LA1589,T,shade,low,pseudohypo,2.8083591647277113,-1.7678551125537323,-0.0033103882179289995,0.02154431817795317,5.0175190045,0.019246344283889435,0.18250576555256467,0.10754969108127904,0.06235219310043349,2.5471186270669994,2.8282257398042643,2.9722881865584103
LA1589,T,shade,high,pseudohypo,2.8083591647277113,-1.6546836582017572,0.22825311149,0.0070092583681304315,4.977099786,0.004748226731456418,0.2172312127627947,0.1389761967378476,0.08899864908280769,2.5580962674701,2.7460042888192815,2.9040316044201733
LA1589,U,shade,low,amphi,2.9187324885648653,-2.4876874272696687,0.035979638662479003,0.020808271469886844,4.9434907618,0.019273810778781056,0.14759496661810098,0.09800721191219396,0.07000577030401593,2.6850152373804983,2.853910029760739,2.9471747723746717
LA1589,U,shade,high,amphi,2.9187324885648653,-2.1147318714833805,0.142622142232,0.0092454295543110809,4.6396780895,0.006856618387766324,0.18551207032854597,0.1303902618480903,0.09637788160297575,2.550913545880915,2.7465649156820695,2.851694928407854
LA1589,U,shade,low,pseudohypo,2.8887620792368005,-2.440476291586364,-0.0276860844464,0.007463313618471265,4.7033283242,0.006788679548049127,0.1150428983015753,0.07050139947509836,0.045015177716679386,2.8001417789615703,2.9424667608884523,3.0282942120643113
LA1589,U,shade,high,pseudohypo,2.8887620792368005,-1.9254312314649324,0.19305211433,0.014682829323483446,4.7967190735,0.009715690230529338,0.16579438886115583,0.11278836216950876,0.07713065951110928,2.6288417922919125,2.8182488027272443,2.921115461562194
LA1589,V,shade,low,amphi,2.8702367243252778,-2.0069136331731596,0.083702794054,0.005614195689916756,4.8188230482,0.0039686943181363255,0.20012206828705917,0.11589706108615175,0.07950535270429852,2.5282822817703305,2.80033956899616,2.9176584446722353
LA1589,V,shade,high,amphi,2.8702367243252778,-1.8234989849393006,0.131062034161,0.014640345437982696,5.014998883,0.010451258113797218,0.21790613288579924,0.1498706408516358,0.10833110098977286,2.4549577627973456,2.68099882328676,2.817702671341382
LA1589,V,shade,low,pseudohypo,2.851054820392424,-2.007095841621178,-0.124012694531,0.025346039389968638,5.1959763467,0.03156903592550452,0.1531934920471222,0.09181103394966185,0.052808782757357176,2.676033159370972,2.876414564208556,3.0058892512943265
LA1589,V,shade,high,pseudohypo,2.851054820392424,-1.554706646126973,0.117101525212,0.01236270034521886,5.0903991983,0.009547564522752542,0.21215075206150194,0.1422951394729551,0.09150647772112845,2.523566666590587,2.7221264923252146,2.8897861512138245
